category,news,Preprocessed news,true_label,pred_ngram,pred_hash,agree,correct_ngram,correct_hash,Scored Probabilities_car_loan_ngram,Scored Probabilities_car_loan_hash,Scored Probabilities_credit_card_ngram,Scored Probabilities_credit_card_hash,Scored Probabilities_fixed_deposit_ngram,Scored Probabilities_fixed_deposit_hash,Scored Probabilities_home_loan_ngram,Scored Probabilities_home_loan_hash,Scored Probabilities_insurance_ngram,Scored Probabilities_insurance_hash,Scored Probabilities_mutual_funds_ngram,Scored Probabilities_mutual_funds_hash,max_prob_ngram,max_prob_hash,margin_ngram,margin_hash,active_ngram_features,active_hash_features
mutual_funds,"Customers are increasingly focused on market-linked returns when considering their options for mutual funds products. According to recent reports, debt funds has been a significant factor affecting the mutual funds sector. Given the current trends in market-linked returns, many financial institutions are revising their strategies for mutual funds. Analysts expect systematic investment plan to play a crucial role in shaping the future of mutual funds offerings. Financial experts suggest keeping an eye on the evolving mutual fund investments, as it may impact decisions in the mutual funds industry. Recent developments in systematic investment plan have caught the attention of many analysts, especially within the context of mutual funds.",customer increasingly focus market link return consider -pron- option mutual fund product ||| accord recent report debt fund significan factor affect mutual fund sector ||| current trend market link return financial institution revise -pron- strategy mutual fund ||| analyst expect systematic investment plan play crucial role shape future mutual fund offering ||| financial expert suggest eye evolve mutual fund investment impact decision mutual fund industry ||| recent development systematic investment plan catch attention analyst especially context mutual fund,mutual_funds,mutual_funds,mutual_funds,True,True,True,6.384103172989385e-07,6.384103172988523e-07,6.384103172991597e-07,6.384103172988092e-07,6.38410317299002e-07,6.384103172988716e-07,6.384103172990281e-07,6.384103172988342e-07,6.384103172990837e-07,6.384103172988535e-07,0.9999968079484134,0.9999968079484134,0.9999968079484134,0.9999968079484134,0.9999961695380961,0.9999961695380961,40,107
credit_card,"Recent developments in credit card interest rates have caught the attention of many analysts, especially within the context of credit card. Financial experts suggest keeping an eye on the evolving cashback offers, as it may impact decisions in the credit card industry. Analysts expect credit card interest rates to play a crucial role in shaping the future of credit card offerings. Given the current trends in EMI on credit card, many financial institutions are revising their strategies for credit card. Customers are increasingly focused on EMI on credit card when considering their options for credit card products. According to recent reports, credit card usage has been a significant factor affecting the credit card sector.",recent development credit card interest rate catch attention analyst especially context credit card ||| financial expert suggest eye evolve cashback offer impact decision credit card industry ||| analyst expect credit card interest rate play crucial role shape future credit card offering ||| current trend emi credit card financial institution revise -pron- strategy credit card ||| customer increasingly focus emi credit card consider -pron- option credit card product ||| accord recent report credit card usage significan factor affect credit card sector,credit_card,credit_card,credit_card,True,True,True,6.3841031729896e-07,6.384103172990144e-07,0.9999968079484132,0.9999968079484132,6.38410317298808e-07,6.384103172988953e-07,6.38410317298799e-07,6.384103172988727e-07,6.384103172989849e-07,6.384103172988307e-07,6.384103172989407e-07,6.384103172989169e-07,0.9999968079484132,0.9999968079484132,0.9999961695380959,0.9999961695380959,38,103
car_loan,"Analysts expect car loan approval to play a crucial role in shaping the future of car loan offerings. Financial experts suggest keeping an eye on the evolving auto loan deals, as it may impact decisions in the car loan industry. According to recent reports, second-hand car financing has been a significant factor affecting the car loan sector. Recent developments in car loan approval have caught the attention of many analysts, especially within the context of car loan. Given the current trends in automobile market, many financial institutions are revising their strategies for car loan. Customers are increasingly focused on automobile market when considering their options for car loan products.",analyst expect car loan approval play crucial role shape future car loan offering ||| financial expert suggest eye evolve auto loan deal impact decision car loan industry ||| accord recent report second hand car financing significan factor affect car loan sector ||| recent development car loan approval catch attention analyst especially context car loan ||| current trend automobile market financial institution revise -pron- strategy car loan ||| customer increasingly focus automobile market consider -pron- option car loan product,car_loan,car_loan,car_loan,True,True,True,0.9999968079484132,0.9999968079484132,6.384103172990473e-07,6.384103172993683e-07,6.384103172991924e-07,6.384103172992673e-07,6.38410317299104e-07,6.384103172991914e-07,6.384103172990314e-07,6.384103172991346e-07,6.384103172989066e-07,6.38410317299188e-07,0.9999968079484132,0.9999968079484132,0.9999961695380959,0.9999961695380959,42,110
car_loan,"Analysts expect auto financing to play a crucial role in shaping the future of car loan offerings. Customers are increasingly focused on car purchase when considering their options for car loan products. Given the current trends in car purchase, many financial institutions are revising their strategies for car loan. Recent developments in auto financing have caught the attention of many analysts, especially within the context of car loan. Financial experts suggest keeping an eye on the evolving auto loan deals, as it may impact decisions in the car loan industry. According to recent reports, car loan approval has been a significant factor affecting the car loan sector.",analyst expect auto financing play crucial role shape future car loan offering ||| customer increasingly focus car purchase consider -pron- option car loan product ||| current trend car purchase financial institution revise -pron- strategy car loan ||| recent development auto financing catch attention analyst especially context car loan ||| financial expert suggest eye evolve auto loan deal impact decision car loan industry ||| accord recent report car loan approval significan factor affect car loan sector,car_loan,car_loan,car_loan,True,True,True,0.9999968079484132,0.9999968079484132,6.384103172989521e-07,6.384103172988477e-07,6.384103172990156e-07,6.384103172988273e-07,6.384103172989759e-07,6.384103172988159e-07,6.384103172989622e-07,6.384103172989203e-07,6.384103172988636e-07,6.384103172988704e-07,0.9999968079484132,0.9999968079484132,0.9999961695380959,0.9999961695380959,37,106
home_loan,"According to recent reports, refinancing options has been a significant factor affecting the home loan sector. Analysts expect housing market trends to play a crucial role in shaping the future of home loan offerings. Financial experts suggest keeping an eye on the evolving home loan rates, as it may impact decisions in the home loan industry. Given the current trends in mortgage, many financial institutions are revising their strategies for home loan. Customers are increasingly focused on mortgage when considering their options for home loan products. Recent developments in housing market trends have caught the attention of many analysts, especially within the context of home loan.",accord recent report refinance option significan factor affect home loan sector ||| analyst expect housing market trend play crucial role shape future home loan offering ||| financial expert suggest eye evolve home loan rate impact decision home loan industry ||| current trend mortgage financial institution revise -pron- strategy home loan ||| customer increasingly focus mortgage consider -pron- option home loan product ||| recent development housing market trend catch attention analyst especially context home loan,home_loan,home_loan,home_loan,True,True,True,6.384103172989294e-07,6.384103172988978e-07,6.384103172990678e-07,6.384103172989873e-07,6.38410317299061e-07,6.384103172988886e-07,0.9999968079484134,0.9999968079484134,6.384103172989703e-07,6.384103172991766e-07,6.384103172990996e-07,6.384103172988648e-07,0.9999968079484134,0.9999968079484134,0.9999961695380961,0.9999961695380961,36,109
mutual_funds,"Recent developments in fund manager strategies have caught the attention of many analysts, especially within the context of mutual funds. Given the current trends in mutual fund investments, many financial institutions are revising their strategies for mutual funds. Customers are increasingly focused on mutual fund investments when considering their options for mutual funds products. Analysts expect fund manager strategies to play a crucial role in shaping the future of mutual funds offerings. According to recent reports, debt funds has been a significant factor affecting the mutual funds sector. Financial experts suggest keeping an eye on the evolving portfolio diversification, as it may impact decisions in the mutual funds industry.",recent development fund manager strategy catch attention analyst especially context mutual fund ||| current trend mutual fund investment financial institution revise -pron- strategy mutual fund ||| customer increasingly focus mutual fund investment consider -pron- option mutual fund product ||| analyst expect fund manager strategy play crucial role shape future mutual fund offering ||| accord recent report debt fund significan factor affect mutual fund sector ||| financial expert suggest eye evolve portfolio diversification impact decision mutual fund industry,mutual_funds,mutual_funds,mutual_funds,True,True,True,6.384103172987707e-07,6.384103172989431e-07,6.384103172988682e-07,6.384103172989681e-07,6.384103172988001e-07,6.38410317298858e-07,6.384103172988432e-07,6.384103172988603e-07,6.384103172988251e-07,6.38410317298841e-07,0.9999968079484134,0.9999968079484134,0.9999968079484134,0.9999968079484134,0.9999961695380961,0.9999961695380961,37,106
car_loan,"According to recent reports, automobile market has been a significant factor affecting the car loan sector. Recent developments in car purchase have caught the attention of many analysts, especially within the context of car loan. Financial experts suggest keeping an eye on the evolving auto loan deals, as it may impact decisions in the car loan industry. Given the current trends in vehicle loan interest, many financial institutions are revising their strategies for car loan. Customers are increasingly focused on vehicle loan interest when considering their options for car loan products. Analysts expect car purchase to play a crucial role in shaping the future of car loan offerings.",accord recent report automobile market significan factor affect car loan sector ||| recent development car purchase catch attention analyst especially context car loan ||| financial expert suggest eye evolve auto loan deal impact decision car loan industry ||| current trend vehicle loan interest financial institution revise -pron- strategy car loan ||| customer increasingly focus vehicle loan interest consider -pron- option car loan product ||| analyst expect car purchase play crucial role shape future car loan offering,car_loan,car_loan,car_loan,True,True,True,0.9999968079484132,0.9999968079484132,6.384103172991449e-07,6.384103172988749e-07,6.384103172991108e-07,6.384103172988953e-07,6.38410317298909e-07,6.384103172989928e-07,6.384103172992333e-07,6.384103172990405e-07,6.384103172991493e-07,6.384103172988908e-07,0.9999968079484132,0.9999968079484132,0.9999961695380959,0.9999961695380959,40,109
mutual_funds,"Customers are increasingly focused on mutual fund returns when considering their options for mutual funds products. Analysts expect fund manager strategies to play a crucial role in shaping the future of mutual funds offerings. Recent developments in fund manager strategies have caught the attention of many analysts, especially within the context of mutual funds. According to recent reports, market-linked returns has been a significant factor affecting the mutual funds sector. Given the current trends in mutual fund returns, many financial institutions are revising their strategies for mutual funds. Financial experts suggest keeping an eye on the evolving equity funds, as it may impact decisions in the mutual funds industry.",customer increasingly focus mutual fund return consider -pron- option mutual fund product ||| analyst expect fund manager strategy play crucial role shape future mutual fund offering ||| recent development fund manager strategy catch attention analyst especially context mutual fund ||| accord recent report market link return significan factor affect mutual fund sector ||| current trend mutual fund return financial institution revise -pron- strategy mutual fund ||| financial expert suggest eye evolve equity fund impact decision mutual fund industry,mutual_funds,mutual_funds,mutual_funds,True,True,True,6.384103172989226e-07,6.384103172990157e-07,6.384103172990723e-07,6.384103172990293e-07,6.384103172989895e-07,6.38410317299027e-07,6.384103172989862e-07,6.38410317299002e-07,6.384103172990701e-07,6.384103172989226e-07,0.9999968079484134,0.9999968079484134,0.9999968079484134,0.9999968079484134,0.9999961695380961,0.9999961695380961,38,104
home_loan,"Financial experts suggest keeping an eye on the evolving home equity, as it may impact decisions in the home loan industry. Analysts expect refinancing options to play a crucial role in shaping the future of home loan offerings. Given the current trends in housing market trends, many financial institutions are revising their strategies for home loan. According to recent reports, loan eligibility has been a significant factor affecting the home loan sector. Customers are increasingly focused on housing market trends when considering their options for home loan products. Recent developments in refinancing options have caught the attention of many analysts, especially within the context of home loan.",financial expert suggest eye evolve home equity impact decision home loan industry ||| analyst expect refinance option play crucial role shape future home loan offering ||| current trend housing market trend financial institution revise -pron- strategy home loan ||| accord recent report loan eligibility significan factor affect home loan sector ||| customer increasingly focus housing market trend consider -pron- option home loan product ||| recent development refinance option catch attention analyst especially context home loan,home_loan,home_loan,home_loan,True,True,True,6.384103172988342e-07,6.384103172988682e-07,6.384103172988988e-07,6.384103172989e-07,6.384103172989238e-07,6.384103172988591e-07,0.9999968079484134,0.9999968079484134,6.384103172989782e-07,6.384103172990134e-07,6.384103172989431e-07,6.384103172988364e-07,0.9999968079484134,0.9999968079484134,0.9999961695380961,0.9999961695380961,37,106
home_loan,"Analysts expect refinancing options to play a crucial role in shaping the future of home loan offerings. Financial experts suggest keeping an eye on the evolving property investment, as it may impact decisions in the home loan industry. Given the current trends in loan eligibility, many financial institutions are revising their strategies for home loan. Customers are increasingly focused on loan eligibility when considering their options for home loan products. According to recent reports, housing market trends has been a significant factor affecting the home loan sector. Recent developments in refinancing options have caught the attention of many analysts, especially within the context of home loan.",analyst expect refinance option play crucial role shape future home loan offering ||| financial expert suggest eye evolve property investment impact decision home loan industry ||| current trend loan eligibility financial institution revise -pron- strategy home loan ||| customer increasingly focus loan eligibility consider -pron- option home loan product ||| accord recent report housing market trend significan factor affect home loan sector ||| recent development refinance option catch attention analyst especially context home loan,home_loan,home_loan,home_loan,True,True,True,6.384103172988501e-07,6.384103172989045e-07,6.38410317298926e-07,6.384103172989e-07,6.38410317298951e-07,6.384103172988591e-07,0.9999968079484134,0.9999968079484134,6.384103172989159e-07,6.38410317299027e-07,6.384103172989703e-07,6.384103172988364e-07,0.9999968079484134,0.9999968079484134,0.9999961695380961,0.9999961695380961,38,106
